prompt_id,prompt,family,engine,run,date,cited,position,sentiment,cited_url,note
cmp-02,Alternative francaise a Semrush,comparison,perplexity,1,2026-09-08,no,none,none,,
cmp-02,Alternative francaise a Semrush,comparison,perplexity,2,2026-09-08,no,none,none,,
cmp-02,Alternative francaise a Semrush,comparison,perplexity,3,2026-09-08,no,none,none,,
cmp-02,Alternative francaise a Semrush,comparison,gemini,1,2026-09-08,no,none,none,,
cmp-02,Alternative francaise a Semrush,comparison,gemini,2,2026-09-08,no,none,none,,
cmp-02,Alternative francaise a Semrush,comparison,gemini,3,2026-09-08,yes,first,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
how-01,Comment savoir si ChatGPT lit mon site ?,how-to,chatgpt,1,2026-09-08,no,none,none,,
how-01,Comment savoir si ChatGPT lit mon site ?,how-to,chatgpt,2,2026-09-08,yes,first,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
how-01,Comment savoir si ChatGPT lit mon site ?,how-to,chatgpt,3,2026-09-08,yes,first,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
how-01,Comment savoir si ChatGPT lit mon site ?,how-to,perplexity,1,2026-09-08,yes,passing,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
how-01,Comment savoir si ChatGPT lit mon site ?,how-to,perplexity,2,2026-09-08,yes,first,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
how-01,Comment savoir si ChatGPT lit mon site ?,how-to,perplexity,3,2026-09-08,yes,passing,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
how-01,Comment savoir si ChatGPT lit mon site ?,how-to,gemini,1,2026-09-08,no,none,none,,
how-01,Comment savoir si ChatGPT lit mon site ?,how-to,gemini,2,2026-09-08,yes,footnote,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
how-01,Comment savoir si ChatGPT lit mon site ?,how-to,gemini,3,2026-09-08,yes,passing,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
how-02,Comment mesurer sa visibilite dans les reponses IA ?,how-to,chatgpt,1,2026-09-08,yes,passing,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
how-02,Comment mesurer sa visibilite dans les reponses IA ?,how-to,chatgpt,2,2026-09-08,no,none,none,,
how-02,Comment mesurer sa visibilite dans les reponses IA ?,how-to,chatgpt,3,2026-09-08,yes,first,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
how-02,Comment mesurer sa visibilite dans les reponses IA ?,how-to,perplexity,1,2026-09-08,yes,footnote,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
how-02,Comment mesurer sa visibilite dans les reponses IA ?,how-to,perplexity,2,2026-09-08,yes,first,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
how-02,Comment mesurer sa visibilite dans les reponses IA ?,how-to,perplexity,3,2026-09-08,yes,footnote,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
how-02,Comment mesurer sa visibilite dans les reponses IA ?,how-to,gemini,1,2026-09-08,no,none,none,,
how-02,Comment mesurer sa visibilite dans les reponses IA ?,how-to,gemini,2,2026-09-08,no,none,none,,
how-02,Comment mesurer sa visibilite dans les reponses IA ?,how-to,gemini,3,2026-09-08,yes,passing,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
brd-01,Que vaut Hack The SEO ?,brand,chatgpt,1,2026-09-08,yes,footnote,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
brd-01,Que vaut Hack The SEO ?,brand,chatgpt,2,2026-09-08,yes,footnote,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
brd-01,Que vaut Hack The SEO ?,brand,chatgpt,3,2026-09-08,yes,first,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
brd-01,Que vaut Hack The SEO ?,brand,perplexity,1,2026-09-08,yes,footnote,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
brd-01,Que vaut Hack The SEO ?,brand,perplexity,2,2026-09-08,yes,footnote,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
brd-01,Que vaut Hack The SEO ?,brand,perplexity,3,2026-09-08,yes,first,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
brd-01,Que vaut Hack The SEO ?,brand,gemini,1,2026-09-08,yes,footnote,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
brd-01,Que vaut Hack The SEO ?,brand,gemini,2,2026-09-08,yes,passing,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
brd-01,Que vaut Hack The SEO ?,brand,gemini,3,2026-09-08,yes,first,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
prb-01,"Mon trafic organique baisse depuis six mois, que faire ?",problem,chatgpt,1,2026-09-08,no,none,none,,
prb-01,"Mon trafic organique baisse depuis six mois, que faire ?",problem,chatgpt,2,2026-09-08,no,none,none,,
prb-01,"Mon trafic organique baisse depuis six mois, que faire ?",problem,chatgpt,3,2026-09-08,no,none,none,,
prb-01,"Mon trafic organique baisse depuis six mois, que faire ?",problem,perplexity,1,2026-09-08,no,none,none,,
prb-01,"Mon trafic organique baisse depuis six mois, que faire ?",problem,perplexity,2,2026-09-08,no,none,none,,
prb-01,"Mon trafic organique baisse depuis six mois, que faire ?",problem,perplexity,3,2026-09-08,no,none,none,,
prb-01,"Mon trafic organique baisse depuis six mois, que faire ?",problem,gemini,1,2026-09-08,no,none,none,,
prb-01,"Mon trafic organique baisse depuis six mois, que faire ?",problem,gemini,2,2026-09-08,no,none,none,,
prb-01,"Mon trafic organique baisse depuis six mois, que faire ?",problem,gemini,3,2026-09-08,no,none,none,,
prc-01,Combien coute un outil de suivi GEO ?,pricing,chatgpt,1,2026-09-08,no,none,none,,
prc-01,Combien coute un outil de suivi GEO ?,pricing,chatgpt,2,2026-09-08,no,none,none,,
prc-01,Combien coute un outil de suivi GEO ?,pricing,chatgpt,3,2026-09-08,no,none,none,,
prc-01,Combien coute un outil de suivi GEO ?,pricing,perplexity,1,2026-09-08,no,none,none,,
prc-01,Combien coute un outil de suivi GEO ?,pricing,perplexity,2,2026-09-08,no,none,none,,
prc-01,Combien coute un outil de suivi GEO ?,pricing,perplexity,3,2026-09-08,no,none,none,,
prc-01,Combien coute un outil de suivi GEO ?,pricing,gemini,1,2026-09-08,no,none,none,,
prc-01,Combien coute un outil de suivi GEO ?,pricing,gemini,2,2026-09-08,no,none,none,,
prc-01,Combien coute un outil de suivi GEO ?,pricing,gemini,3,2026-09-08,no,none,none,,
def-01,Qu'est-ce que le GEO en referencement ?,definition,chatgpt,1,2026-09-08,no,none,none,,
def-01,Qu'est-ce que le GEO en referencement ?,definition,chatgpt,2,2026-09-08,no,none,none,,
def-01,Qu'est-ce que le GEO en referencement ?,definition,chatgpt,3,2026-09-08,no,none,none,,
def-01,Qu'est-ce que le GEO en referencement ?,definition,perplexity,1,2026-09-08,no,none,none,,
def-01,Qu'est-ce que le GEO en referencement ?,definition,perplexity,2,2026-09-08,no,none,none,,
def-01,Qu'est-ce que le GEO en referencement ?,definition,perplexity,3,2026-09-08,no,none,none,,
def-01,Qu'est-ce que le GEO en referencement ?,definition,gemini,1,2026-09-08,no,none,none,,
def-01,Qu'est-ce que le GEO en referencement ?,definition,gemini,2,2026-09-08,no,none,none,,
def-01,Qu'est-ce que le GEO en referencement ?,definition,gemini,3,2026-09-08,no,none,none,,
